tanggal,wilayah_stasiun,pm10,so2,co,o3,no2
01/02/2020,DKI 1,38.20,8.53,23.00,28.67,14.73
01/02/2020,DKI 2,43.13,9.53,16.97,39.97,9.13
01/02/2020,DKI 3,46.70,15.83,35.13,49.53,9.70
01/02/2020,DKI 4,54.03,26.07,23.27,74.30,4.17
01/02/2020,DKI 5,38.63,17.43,23.70,69.93,6.93
01/03/2020,DKI 1,45.53,7.22,14.97,45.31,14.28
01/03/2020,DKI 2,49.31,12.34,14.19,59.75,8.34
01/03/2020,DKI 3,47.25,18.03,26.50,67.66,8.81
01/03/2020,DKI 4,59.38,21.16,17.28,90.88,10.50
01/03/2020,DKI 5,44.00,18.38,30.56,98.34,6.97
01/04/2020,DKI 1,45.39,5.77,7.23,49.55,10.61
01/04/2020,DKI 2,51.74,13.06,11.74,65.77,8.74
01/04/2020,DKI 3,48.61,20.03,22.71,60.87,8.29
01/04/2020,DKI 4,63.84,26.84,16.00,64.90,7.55
01/04/2020,DKI 5,46.35,8.77,12.03,92.65,7.42
01/05/2020,DKI 1,47.50,7.56,6.62,45.47,10.41
01/05/2020,DKI 2,51.91,24.56,11.31,58.12,10.59
01/05/2020,DKI 3,46.19,19.50,19.19,56.66,7.19
01/05/2020,DKI 4,58.44,22.66,14.56,52.22,4.91
01/05/2020,DKI 5,45.03,9.16,12.12,78.00,7.88
01/06/2020,DKI 1,60.90,19.52,7.35,49.23,12.97
01/06/2020,DKI 2,65.29,24.16,12.81,65.35,13.74
01/06/2020,DKI 3,59.61,9.90,20.26,62.65,9.23
01/06/2020,DKI 4,64.81,23.74,14.77,62.39,4.65
01/06/2020,DKI 5,53.87,13.39,15.00,77.10,08.06
01/07/2020,DKI 1,61.19,20.72,07.06,55.84,13.22
01/07/2020,DKI 2,65.22,25.25,10.69,69.44,13.47
01/07/2020,DKI 3,59.44,19.09,17.44,73.41,10.62
01/07/2020,DKI 4,63.25,24.38,11.91,63.56,4.91
01/07/2020,DKI 5,56.59,16.62,14.19,85.12,7.53
01/08/2020,DKI 1,58.66,20.66,07.06,52.72,13.72
01/08/2020,DKI 2,62.16,24.06,11.47,63.00,14.16
01/08/2020,DKI 3,56.34,24.06,18.12,66.72,10.06
01/08/2020,DKI 4,77.38,28.16,13.78,60.53,6.97
01/08/2020,DKI 5,56.47,18.16,15.84,80.81,6.91
01/09/2020,DKI 1,55.29,20.97,6.61,65.16,13.35
01/09/2020,DKI 2,61.81,26.84,9.61,82.90,12.71
01/09/2020,DKI 3,51.19,29.81,16.10,80.55,9.13
01/09/2020,DKI 4,72.32,34.58,9.77,74.19,7.74
01/09/2020,DKI 5,54.45,19.90,13.00,99.00,6.39
01/10/2020,DKI 1,50.06,20.47,7.62,61.84,14.72
01/10/2020,DKI 2,55.97,25.62,10.81,83.31,13.75
01/10/2020,DKI 3,43.03,36.50,17.44,71.81,12.22
01/10/2020,DKI 4,64.69,13.22,72.38,10.09,75.41
01/10/2020,DKI 5,47.78,14.41,89.09,9.34,88.84
01/11/2020,DKI 1,49.37,70.26,19.00,8.37,49.68
01/11/2020,DKI 2,54.16,72.74,23.00,11.63,76.00
01/11/2020,DKI 3,48.00,76.16,44.58,16.00,55.68
01/11/2020,DKI 4,59.11,41.79,15.68,61.32,7.74
01/11/2020,DKI 5,44.47,25.37,12.95,69.74,07.05
01/12/2020,DKI 1,28.31,23.97,6.16,26.53,9.81
01/12/2020,DKI 2,30.03,23.94,7.31,43.22,11.44
01/12/2020,DKI 3,38.44,32.81,10.41,26.78,7.19
01/12/2020,DKI 4,31.22,39.72,8.97,30.94,4.19
01/12/2020,DKI 5,23.62,28.94,6.00,33.88,3.41
01/01/2021,DKI 1,38.52,17.32,14.48,29.55,11.81
01/01/2021,DKI 2,39.39,16.19,11.58,74.00,10.55
01/01/2021,DKI 3,45.61,17.52,16.39,42.26,6.68
01/01/2021,DKI 4,42.87,28.06,18.45,41.77,5.81
01/01/2021,DKI 5,36.52,17.74,13.52,35.94,8.55
01/02/2021,DKI 1,34.21,21.00,13.11,15.11,21.07
01/02/2021,DKI 2,37.36,39.89,10.64,45.00,14.64
01/02/2021,DKI 3,44.11,25.36,10.75,28.18,12.86
01/02/2021,DKI 4,34.64,39.36,12.18,22.11,10.11
01/02/2021,DKI 5,35.54,27.07,9.57,17.04,18.86
01/03/2021,DKI 1,46.16,23.19,15.13,16.29,27.52
01/03/2021,DKI 2,54.90,37.74,14.42,50.16,20.48
01/03/2021,DKI 3,55.32,28.23,11.42,33.13,14.94
01/03/2021,DKI 4,49.74,41.35,14.74,26.90,13.65
01/03/2021,DKI 5,46.00,28.13,11.00,20.71,19.19
01/04/2021,DKI 1,52.13,24.63,14.90,19.17,31.33
01/04/2021,DKI 2,57.97,45.50,13.07,51.73,19.40
01/04/2021,DKI 3,51.37,23.90,10.47,31.73,15.50
01/04/2021,DKI 4,53.37,41.00,13.23,25.23,16.80
01/04/2021,DKI 5,48.80,29.13,11.60,25.53,21.50
01/05/2021,DKI 1,53.52,23.26,13.23,21.00,27.61
01/05/2021,DKI 2,61.00,53.23,12.16,56.65,18.19
01/05/2021,DKI 3,53.87,29.61,9.77,37.29,14.81
01/05/2021,DKI 4,56.84,39.10,11.35,27.42,17.29
01/05/2021,DKI 5,47.71,25.87,10.61,27.87,17.74
01/06/2021,DKI 1,58.60,26.30,16.97,19.97,35.07
01/06/2021,DKI 2,67.23,54.33,13.90,55.33,25.03
01/06/2021,DKI 3,62.47,48.87,8.33,26.13,17.83
01/06/2021,DKI 4,61.97,37.30,14.20,27.20,23.93
01/06/2021,DKI 5,56.77,29.03,15.83,20.23,33.77
01/07/2021,DKI 1,61.61,29.32,10.81,24.42,26.19
01/07/2021,DKI 2,74.45,53.77,11.39,54.00,21.77
01/07/2021,DKI 3,68.71,46.42,7.71,28.58,16.84
01/07/2021,DKI 4,69.87,38.61,11.84,26.94,23.81
01/07/2021,DKI 5,60.74,33.26,11.61,26.74,25.87
01/08/2021,DKI 1,56.74,27.87,10.65,25.32,27.19
01/08/2021,DKI 2,63.74,52.16,10.13,43.71,19.23
01/08/2021,DKI 3,58.19,44.65,10.90,29.65,14.71
01/08/2021,DKI 4,57.68,39.74,9.77,24.71,22.16
01/08/2021,DKI 5,56.77,32.71,9.39,26.48,21.26
01/09/2021,DKI 1,53.90,27.93,10.43,26.33,28.67
01/09/2021,DKI 2,60.10,51.63,9.83,44.87,18.10
01/09/2021,DKI 3,54.70,48.37,10.60,30.10,14.77
01/09/2021,DKI 4,56.37,42.43,9.80,27.77,20.00
01/09/2021,DKI 5,51.37,39.97,6.87,29.00,14.10
01/10/2021,DKI 1,55.77,29.61,11.61,27.10,34.13
01/10/2021,DKI 2,61.68,65.77,11.26,56.68,24.23
01/10/2021,DKI 3,53.00,50.71,11.77,33.35,15.68
01/10/2021,DKI 4,61.10,43.71,11.23,39.84,21.77
01/10/2021,DKI 5,54.81,47.00,10.68,31.39,17.26
01/11/2021,DKI 1,38.97,32.53,11.40,16.70,17.10
01/11/2021,DKI 2,41.00,17.17,10.23,44.33,21.10
01/11/2021,DKI 3,42.83,46.40,10.80,27.40,12.93
01/11/2021,DKI 4,44.03,38.57,10.20,23.53,15.27
01/11/2021,DKI 5,37.50,23.83,8.83,17.13,21.27
01/12/2021,DKI 1,46.48,42.58,15.87,19.39,12.94
01/12/2021,DKI 2,47.26,36.97,13.42,43.48,27.35
01/12/2021,DKI 3,48.71,38.32,14.00,33.16,14.55
01/12/2021,DKI 4,57.03,35.94,13.81,25.94,18.90
01/12/2021,DKI 5,43.94,24.06,10.35,23.03,32.81
