tanggal,wilayah_stasiun,pm10,so2,co,o3,no2,,,,,,
October 2020,DKI 5,47.78,14.41,89.09,9.34,88.84,,,,,,
November 2020,DKI 1,49.37,70.26,19,8.37,49.68,,,,,,
November 2020,DKI 2,54.16,72.74,23,11.63,76,,,,,,
November 2020,DKI 3,48,76.16,44.58,16,55.68,,,,,,
November 2020,DKI 4,59.11,41.79,15.68,61.32,7.74,,,,,,
November 2020,DKI 5,44.47,25.37,12.95,69.74,07.05,,,,,,
December 2020,DKI 1,28.31,23.97,6.16,26.53,9.81,,,,,,
December 2020,DKI 2,30.03,23.94,7.31,43.22,11.44,,,,,,
December 2020,DKI 3,38.44,32.81,10.41,26.78,7.19,,,,,,
December 2020,DKI 4,31.22,39.72,8.97,30.94,4.19,,,,,,
December 2020,DKI 5,23.62,28.94,6,33.88,3.41,,,,,,
January 2021,DKI 1,38.52,17.32,14.48,29.55,11.81,,,,,,
January 2021,DKI 2,39.39,16.19,11.58,74,10.55,,,,,,
January 2021,DKI 3,45.61,17.52,16.39,42.26,6.68,,,,,,
January 2021,DKI 4,42.87,28.06,18.45,41.77,5.81,,,,,,
January 2021,DKI 5,36.52,17.74,13.52,35.94,8.55,,,,,,
February 2021,DKI 1,34.21,21,13.11,15.11,21.07,,,,,,
February 2021,DKI 2,37.36,39.89,10.64,45,14.64,,,,,,
February 2021,DKI 3,44.11,25.36,10.75,28.18,12.86,,,,,,
February 2021,DKI 4,34.64,39.36,12.18,22.11,10.11,,,,,,
February 2021,DKI 5,35.54,27.07,9.57,17.04,18.86,,,,,,
March 2021,DKI 1,46.16,23.19,15.13,16.29,27.52,,,,,,
March 2021,DKI 2,54.9,37.74,14.42,50.16,20.48,,,,,,
March 2021,DKI 3,55.32,28.23,11.42,33.13,14.94,,,,,,
March 2021,DKI 4,49.74,41.35,14.74,26.9,13.65,,,,,,
March 2021,DKI 5,46,28.13,11,20.71,19.19,,,,,,
April 2021,DKI 1,52.13,24.63,14.9,19.17,31.33,,,,,,
April 2021,DKI 2,57.97,45.5,13.07,51.73,19.4,,,,,,
April 2021,DKI 3,51.37,23.9,10.47,31.73,15.5,,,,,,
April 2021,DKI 4,53.37,41,13.23,25.23,16.8,,,,,,
April 2021,DKI 5,48.8,29.13,11.6,25.53,21.5,,,,,,
May 2021,DKI 1,53.52,23.26,13.23,21,27.61,,,,,,
May 2021,DKI 2,61,53.23,12.16,56.65,18.19,,,,,,
May 2021,DKI 3,53.87,29.61,9.77,37.29,14.81,,,,,,
May 2021,DKI 4,56.84,39.1,11.35,27.42,17.29,,,,,,
May 2021,DKI 5,47.71,25.87,10.61,27.87,17.74,,,,,,
June 2021,DKI 1,58.6,26.3,16.97,19.97,35.07,,,,,,
June 2021,DKI 2,67.23,54.33,13.9,55.33,25.03,,,,,,
June 2021,DKI 3,62.47,48.87,8.33,26.13,17.83,,,,,,
June 2021,DKI 4,61.97,37.3,14.2,27.2,23.93,,,,,,
June 2021,DKI 5,56.77,29.03,15.83,20.23,33.77,,,,,,
July 2021,DKI 1,61.61,29.32,10.81,24.42,26.19,,,,,,
July 2021,DKI 2,74.45,53.77,11.39,54,21.77,,,,,,
July 2021,DKI 3,68.71,46.42,7.71,28.58,16.84,,,,,,
July 2021,DKI 4,69.87,38.61,11.84,26.94,23.81,,,,,,
July 2021,DKI 5,60.74,33.26,11.61,26.74,25.87,,,,,,
August 2021,DKI 1,56.74,27.87,10.65,25.32,27.19,,,,,,
August 2021,DKI 2,63.74,52.16,10.13,43.71,19.23,,,,,,
August 2021,DKI 3,58.19,44.65,10.9,29.65,14.71,,,,,,
August 2021,DKI 4,57.68,39.74,9.77,24.71,22.16,,,,,,
August 2021,DKI 5,56.77,32.71,9.39,26.48,21.26,,,,,,
September 2021,DKI 1,53.9,27.93,10.43,26.33,28.67,,,,,,
September 2021,DKI 2,60.1,51.63,9.83,44.87,18.10,,,,,,
September 2021,DKI 3,54.7,48.37,10.6,30.10,14.77,,,,,,
September 2021,DKI 4,56.37,42.43,9.8,27.77,20,,,,,,
September 2021,DKI 5,51.37,39.97,6.87,29,14.10,,,,,,
October 2021,DKI 1,55.77,29.61,11.61,27.10,34.13,,,,,,
October 2021,DKI 2,61.68,65.77,11.26,56.68,24.23,,,,,,
October 2021,DKI 3,53,50.71,11.77,33.35,15.68,,,,,,
October 2021,DKI 4,61.1,43.71,11.23,39.84,21.77,,,,,,
October 2021,DKI 5,54.81,47,10.68,31.39,17.26,,,,,,
November 2021,DKI 1,38.97,32.53,11.4,16.7,17.10,,,,,,
November 2021,DKI 2,41,17.17,10.23,44.33,21.10,,,,,,
November 2021,DKI 3,42.83,46.4,10.8,27.4,12.93,,,,,,
November 2021,DKI 4,44.03,38.57,10.2,23.53,15.27,,,,,,
November 2021,DKI 5,37.5,23.83,8.83,17.13,21.27,,,,,,
December 2021,DKI 1,46.48,42.58,15.87,19.39,12.94,,,,,,
December 2021,DKI 2,47.26,36.97,13.42,43.48,27.35,,,,,,
December 2021,DKI 3,48.71,38.32,14,33.16,14.55,,,,,,
December 2021,DKI 4,57.03,35.94,13.81,25.94,18.9,,,,,,
December 2021,DKI 5,43.94,24.06,10.35,23.03,32.81,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
